location;iata;;;;;;;;;;;
Barth;BBH;EDBH;Regio;MV;1936;4888 (2021)[5];7859 (2021)[6];0 (2021)[5];1685×30;09/27;A;n. v.
Berlin Bran­denburg;BER;EDDB;Inter;BB;2020;19845046 (2022);164293 (2022);36038 (2022);3600×45 4000×60;07L/25R 07R/25L;A A;46.000
Berlin Tegel;TXL;;;;;;;;;;;
Braun­schweig- Wolfsburg;BWE;EDVE;Regio;NI;1934;43315 (2022);27824 (2022);1 (2022);2300×45 900×30 (gesperrt);08/26 08/26 (gesperrt);A G (gesperrt);n. v.
Bremen;BRE;EDDW;Inter;HB;1913;1493007 (2022);25083 (2022);319 (2022);2040×45 700×23;09/27 23[A 1];A A;n. v.
Cuxhaven/ Nordholz;FCN;ETMN;Regio/ Militär[A 2];NI;2002;244 (2021)[5];1524 (2021)[6];0 (2021)[5];2439×45;08/26;B;n. v.
Dortmund;DTM;EDLW;Regio;NW;1960;2586238 (2022);36258 (2022);0 (2022);2000×45;06/24;A;3.500
Dresden;DRS;EDDC;Inter;SN;1935;838387 (2022);20119 (2022);61 (2022);2850×60;04/22;B;3.500
Düsseldorf;DUS;EDDL;Inter;NW;1927;16071936 (2022);140598 (2022);23707 (2022);3000×45 2700×45;05R/23L 05L/23R;B B;24.000
Erfurt- Weimar;ERF;EDDE;Inter;TH;1935;137779 (2022);6048 (2022);925 (2022);2600×50;10/28;A;800
Frankfurt;FRA;EDDF;Inter;HE;1936;48918482 (2022);382211 (2022);2009433 (2022);4000×45 4000×60 4000×45 2800×45;07R/25L 07C/25C 18[A 1] 07L/25R[A 3];A A B B;70.000
Frankfurt- Hahn;HHN;EDFH;Regio;RP;1993;1377087 (2022);15965 (2022);220836 (2022);3800×45;03/21;A;5.000
Friedrichs­hafen[7];FDH;EDNY;Regio;BW;1913;339556 (2022);29105 (2022);0 (2022);2356×45;06/24;A;600
Hamburg;HAM;EDDH;Inter;HH;1911;11096296 (2022);109510 (2022);21165 (2022);3666×46 3250×46;15/33 05/23;A A;16.000
Hannover- Langenhagen;HAJ;EDDV;Inter;NI;1952;3961983 (2022);61871 (2022);36644 (2022);2340×45 3200×45 780×23;09R/27L 09L/27R 09C/27C;B B A;10.000
Heringsdorf[4];HDF;EDAH;Regio;MV;1925;7094 (2021)[5];2691 (2021)[6];0 (2021)[5];2305×35;10/28;A;n. v.
Ingolstadt/ Manching;IGS;ETSI;Regio/ Militär[A 4];BY;2001;3728 (2021)[5];9980 (2021)[6];0 (2021)[5];2940×60 2439×30;07R/25L 07L/25R;B B;n. v.
Karlsruhe/ Baden-Baden[7];FKB;EDSB;Regio;BW;1995;1304701 (2022);37464 (2022);1783 (2022);3000×45;03/21;A;1.500
Kassel- Calden;KSF;EDVK;Regio;HE;2013;115597 (2022);29814 (2022);5 (2022);2500×45;09/27;A;700
Köln/Bonn;CGN;EDDK;Inter;NW;1938;8756712 (2022);120975 (2022);971442 (2022);3815×60 1863×45 2459×45;14L/32R 14R/32L 06/24;A B B;14.000
Lahr;LHA;EDTL;Sonder[A 5];BW;1996;2654 (2021)[5];12259 (2021)[6];0 (2021)[5];3000×45;03/21;B;300
Leipzig/Halle;LEJ;EDDP;Inter;SN;1927;1558602 (2022);80902 (2022);1510575 (2022);3600×45 3600×60;08L/26R 08R/26L;B B;4.500
Lübeck- Blankensee;LBC;EDHL;Regio;SH;1917;82590 (2022);23089 (2022);0 (2022);2102×60;07/25;A;n. v.
Magdeburg- Cochstedt;CSO;EDBC;Regio;ST;1957;0 (2021)[8];0 (2021)[8];0 (2021)[8];2500×45 800×40;08/26 08/26;A G;n. v.
Memmingen;FMM;EDJA;Regio;BY;1936;1991208 (2022);24648 (2022);0 (2022);2630×45;06/24;A;2.000
München;MUC;EDDM;Inter;BY;1992;31642738 (2022);285028 (2022);274789 (2022);4000×60 4000×60;08L/26R 08R/26L;B B;50.000
Münster/ Osnabrück;FMO;EDDG;Inter;NW;1972;830772 (2022);37678 (2022);101 (2022);2170×45;07/25;A;4.000
Neubran­denburg[4];FNB;EDBN;Regio;MV;1934;1057 (2021)[5];9399 (2021)[6];0 (2021)[5];2293×45;09/27;B;100
Niederrhein;NRN;EDLV;Regio;NW;2003;1036882 (2022);15533 (2022);0 (2022);2440×45;09/27;B;2.500
Nürnberg;NUE;EDDN;Inter;BY;1955;3272138 (2022);48216 (2022);5583 (2022);2700×45;10/28;A;5.000[11]
Oberpfaf­fenhofen[9];OBF;EDMO;Sonder[A 6];BY;1936;5079 (2021)[5];10114 (2021)[6];0 (2021)[5];2286×45;04/22;A;n. v.
Paderborn/ Lippstadt;PAD;EDLP;Regio;NW;1971;502621 (2022);38035 (2022);192 (2022);2180×45;06/24;A;n. v.
Rostock- Laage[4];RLG;ETNL;Regio[A 7];MV;1992;60997 (2022);15.440 (2022);0 (2022);2520×45;10/28;B;1.000
Saarbrücken;SCN;EDDR;Inter;SL;1967;300034 (2022);6882 (2022);10 (2022);2000×45 545×50;09/27 09/27;A G;700
Schwerin- Parchim[4];SZW;EDOP;Regio;MV;1992;0 (2021)[8];0 (2021)[8];0 (2021)[8];3000×55;06/24;B;n. v.
Siegerland;SGE;EDGS;Regio;NW;1967;404 (2021)[5];27750 (2021)[6];0 (2021)[5];1620×30 600×30 500×30;13/31 13/31 04/22;A G G;n. v.
Stuttgart[7];STR;EDDS;Inter;BW;1936;6986943 (2022);85822 (2022);33593 (2022);3345×45;07/25;B;14.000
Sylt;GWT;EDXW;Regio;SH;1918;119763 (2022);12641 (2022);0 (2022);2120×45 1696×45;14/32 06/24;B B;300